,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
296,Word by Word: The Secret Life of Dictionaries,Kory Stamper,4.19,296,Pantheon Books,110187094X,Nonfiction,0,274,2017-03-14
297,Hallelujah Anyway: Rediscovering Mercy,Anne Lamott,3.67,176,Riverhead Books,0735213585,Nonfiction,0,6498,2017-04-04
298,Tears We Cannot Stop: A Sermon to White America,Michael Eric Dyson,4.3,228,St. Martin's Press,1250135990,Nonfiction,0,667,2017-01-17
299,Tools of Titans,Timothy Ferriss,4.17,673,Houghton Mifflin Harcourt,1328683788,Business,0,6090,2016-12-06
300,A Colony in a Nation,Chris Hayes,4.2,256,W. W. Norton  Company,0393254224,Politics,0,89,2017-03-21
301,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,4.16,208,Random House,0812995848,Nonfiction,0,18201,2017-09-12
302,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,4.32,328,Portfolio,1591848148,Nonfiction,0,1128,2017-05-02
303,Paperbacks From Hell: The Twisted History of '70s and '80s Horror Fiction,Grady Hendrix,4.34,254,Quirk Books,1594749817,Horror,0,3031,2017-09-19
304,Unshakeable: Creating Peace of Mind In a World of Volatility,Anthony Robbins,4.12,256,Simon & Schuster UK,1471164934,Economics,0,3633,2017-03-01
305,No Is Not Enough: Resisting Trump's Shock Politics and Winning the World We Need,Naomi Klein,4.15,273,Haymarket Books(first published June 7th 2017),1608468909,Nonfiction,0,3405,2017-06-13
306,"American Fire: Love, Arson, and Life in a Vanishing Land",Monica Hesse,3.79,255,Liveright,1631490516,Nonfiction,0,422,2017-07-11
307,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0,129,2017-10-03
308,What Happened,Hillary Rodham Clinton,3.97,464,Simon & Schuster,1501175564,Nonfiction,0,1704,2017-09-12
309,What Happened,Hillary Rodham Clinton,3.97,464,Simon & Schuster,1501175564,Nonfiction,0,1704,2017-09-12
310,What Happened,Hillary Rodham Clinton,3.97,464,Simon & Schuster,1501175564,Nonfiction,0,1704,2017-09-12
311,Hunger: A Memoir of (My) Body,Roxane Gay,4.19,306,HarperCollins,0062362593,Nonfiction,0,100964,2017-06-13
312,"Unfiltered: No Shame, No Regrets, Just Me",Lily Collins,3.95,228,HarperCollins,0062473018,Nonfiction,0,551,2017-03-07
313,Daring to Drive: A Saudi Woman's Awakening,Manal Al-Sharif,4.3,289,Simon & Schuster,1476793026,Nonfiction,0,166,2017-06-13
314,You Don't Have to Say You Love Me,Sherman Alexie,4.18,457,"Little, Brown and Company",031627075X,Autobiography,0,5173,2017-06-13
315,The Most Beautiful: My Life with Prince,Mayte Garcia,4.08,304,Hachette Books,0316468975,Nonfiction,0,77,2017-04-04
316,My Lovely Wife in the Psych Ward,Mark Lukach,4.08,320,Harper Wave,006242291X,Nonfiction,0,104,2017-05-02
